id,keyword_id,position,url,search_volume,difficulty_score,check_date,created_at,updated_at,device_type,country_id
0090a8b9-8ca7-4174-ae51-d5f2e7dd66aa,c413fe7a-912a-46e0-ab3b-d4d93cc1e5ce,1,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
0097813a-1b5b-4915-bcde-b256824b19c9,ade968d7-c127-41c7-bc9e-3fe25eb2d309,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
012a7d94-2d51-469a-bf54-b0cc5356172d,81d4e0b1-b3c5-402e-a08a-2daabee940a5,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
01e4884a-4d49-4456-8173-51b2630fab02,924b8a63-e0c4-4c67-bacf-361970c728a3,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
0518e148-440f-4012-89a2-bb1c5930a6ec,632c9f06-1a8e-4f35-bcc8-048a63bfe14e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
070ec326-c368-45cd-8327-023143d9f429,ebb91e0a-0278-4d2c-94dc-38335c7ed864,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
0b98fc4a-70e1-4696-9730-1ab2071ce857,f4ba7dbe-a983-4aa0-a8a7-b4645738567c,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
0f4510e5-1cad-4345-82bd-d7f06f9449c7,0af6573f-1b32-4c04-8220-d0e75fb3ad0e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
113cb3df-2fb2-4217-b40c-dcb04f35acf9,c7e9a3de-1d3f-482c-bdc6-bdea680b7d41,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
1230ff30-2a62-4d7f-9209-1c244b0e52b5,d9879c92-91ef-4711-aeaa-29b7971993bf,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
1652069f-6b2d-447e-99aa-0e1ce8ea59ac,2e4b8470-e339-42c3-9750-4254b17355d3,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
172b8820-c2c4-4cdf-8318-77ee35e4c414,18fbffeb-4abf-4daa-a82f-08b32c860fc1,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
181a0135-78ee-478e-86fe-65836d9da4c4,9db64d46-d345-4aa1-b13a-6b37937bc581,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,desktop,1650e5e6-6ed5-44b3-b253-4353714be8e6
18705cfe-599b-44eb-8e03-fc2d1c6e7502,6f5c4cfc-f282-4f7e-873f-7696921501c8,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
18ce98b8-c999-465e-ae64-d46314c5bf5c,32146c23-f747-42dd-a789-ecf7b1c69e31,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
19114428-65e3-4ee8-b0d7-170e5d6f6bba,29e849e3-6cdb-43aa-b4a6-11dc0a06b553,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
19e30fdf-cb84-449e-abea-eec5d0d9eae4,4bb7b0f7-dd8f-4842-be5d-ef631d3a721b,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
20af319d-d321-4781-a551-ad26dde47066,2e40a023-cd05-4157-912d-df6217072565,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
239c41da-1ae5-4f18-9e20-1ca745b09e03,a0c10bbc-853e-4824-b5db-7240ea5ccf3d,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
256ff87a-a5a3-420f-acef-a1f279d45b5f,50fea06e-cc87-469d-8118-c1dcfcea6910,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
2a1f2457-4dc9-4ebd-9c22-107f460a4d97,8287a700-3ab2-40a4-b36b-06959085c42e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
2b7fe8b1-f963-43d8-b6f7-94cb05a79c31,0741905b-758c-4a58-94a8-3479bc7c774e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
2d57a61b-ef42-47ff-9e2e-acbf2cbf065c,6ed65709-a805-456a-ba43-753db7fb49cd,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
31c0ba42-1f30-4535-8229-6e6c92315b4d,f8f519f0-b8ca-4bdd-8e09-f49e1950b27d,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,desktop,1650e5e6-6ed5-44b3-b253-4353714be8e6
31d0dde1-b1a0-41bd-9490-fb694a0ef452,7c26088d-a172-47ea-a265-0697ad1d814f,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
320bbdb9-949c-4bb5-9f9c-948cd7a93ea6,ad912f9d-29a5-4c6c-813d-76521d8248d7,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
32bc8a09-0255-4108-ad6b-11d8fa7be943,f519d9ea-1f47-4634-a07e-f269e83ebc98,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
3370dd10-fe86-4908-b278-ce375bfffdfc,4f447a6a-a2c1-4fab-8c91-59a9af2ef60a,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
36b40685-e838-492f-85d6-1ac8260cccc5,86dabf8d-1ac5-4d74-ae76-bd9677850b40,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
36e6dd5b-44a3-44db-a7c4-d4c002b5dffe,7108b6db-5d79-4d64-acb2-bc8542e33394,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
37d0829f-11b1-4bb2-866f-29d348a0f8d8,2dfd8274-d2e0-4d12-bf2e-6ce8a99e4a14,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
3ff1633e-a0f1-4c26-b9a5-bd77bac0c646,f56b7827-9508-461b-ad4f-723153dfe86c,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
40717359-188f-4460-991b-70183e088bff,9f4a2e8f-9258-4280-8345-03b850c11b5e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
41c21e84-bce9-4292-b3db-0bf65aa4d635,f9771f6f-25ac-4e57-994d-17481f55d168,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
425a3c76-5d97-4123-9f9e-abd8e86be62f,21860944-abed-49d8-ba7e-f7962040bf63,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
440278c9-56b0-43ed-a372-9f3ff606cebf,5d5620bf-986c-41df-960f-eb3c14d6d438,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
44d6de06-b1a3-4cf3-ba61-1bea96c26768,cfd27884-240c-4835-9868-cd96a783fc92,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
5099eac0-c62a-4fc8-8a8d-8fb8b17c063a,df506813-b3a9-480a-9ace-d77ca1e3ad5e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
5111851b-3e4f-4e6d-a233-092fe1558e1f,cc3a956c-0712-4d39-92ec-99804521aa8f,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
530c930b-d577-42e9-8801-0800c4c469ea,8a66bbd7-e918-43c7-9355-4fc9b7d9900c,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
5361367a-23e4-4b25-aeb1-234335f45fa4,859b50e3-a1dd-40ce-b82e-4e999b949bda,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
5850b3a4-0fd5-4242-bbc2-9809b718e41a,129e6b4d-654a-4623-a6f2-1178065a21f7,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
5d58d789-255c-4676-bb08-a0dfe844c7d3,5d805da2-37f0-4c31-81d4-c0679583e12b,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
5deb870c-6dad-4f40-a5f9-9079145d28d4,9a8cb0fd-031b-46d5-a5c6-7b587d7231b7,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
605e81f2-3e30-4378-b2d9-26f8b72b2826,5111ebaa-5ccb-4b54-a18a-404985555102,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
62a2c1c7-0674-4b6a-a041-4df98826a7b5,bda18ce6-66f4-43ed-8338-2bde5476a9d4,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
66e9578f-f5bf-48e2-b58f-de1ec69c6959,5ac4c07c-0c48-4b0d-bc34-207f3e15303e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
6ee47fee-23af-481f-b822-4a88c7925e28,5669a24a-ed13-4fed-a91f-78241a2b4cd2,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
73c2a469-c0a5-497b-a7db-2e9b97816ca9,05e4ad23-b5af-4d91-b636-12c030558b5c,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
79052484-5b89-4216-9461-ed3c150f9e95,25da27c8-bd46-45d2-9ce4-e004c14975d0,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
7b38afb1-e5d5-4455-ae5d-af003793b1a4,7e124883-4abc-47e9-9685-abcfb87591eb,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
7b8b490a-b10c-44db-a539-4290b5c881ac,6bef944d-5e5c-4361-b41a-08ee0570bf61,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
7f1f9841-c4ea-4de3-942e-05f1c88dc03e,a4f0dcf7-aa5d-46cc-90e9-1f23e632d354,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
7f8265b7-527b-48ea-99a3-52628aac0e42,bbabf964-0ff1-45ea-8d7f-d8085c7a7ef4,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
80641752-6bd7-4e30-ab11-8d096bfe4be7,d97e47a0-b4d2-45c7-aa34-15e5700d5fec,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
8775d00b-61b6-4f95-80c8-7cb88fd1ebe0,58857bd2-afb8-4d52-87b5-6bbe5e9695f2,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
87d7676c-f3c7-42ad-8eb9-38239bdfe17d,a4d18527-c75e-47d2-8d87-6a2df70fff22,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
88790428-0870-4bca-a2c0-6a56a1f6b731,179d2073-f5e1-4514-9690-2c4062c3dd10,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
8ab70c75-a132-4849-8605-7b798c1fdbab,4dc6e705-bc9f-4f5f-9ce3-31adf4fc816e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
8bbc014d-e4fe-44c1-a591-7a06f7445241,214d4ff0-ef0b-46cf-bf13-0987e7af7b8e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
8f7a90e8-f805-4de9-92ba-84eb19ef5ef5,245c6494-5277-4404-acca-3820fadf69a4,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
8fe05fb5-4b92-412e-9e8b-b52ab68cc36c,a0b85603-89c5-49bd-9a9a-8554aa67c3d0,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,desktop,78a129bd-f4a6-45d1-82e7-c96ddde7959c
91c0030a-3923-425b-91b0-328a6058bc51,90cd0ebe-6b13-4eb9-8678-37c465db691a,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
95927860-2b75-4a7e-bfd3-d1c579469a7e,5ec5d54a-9baa-4410-acd7-1b3ce3c65aa4,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
99992e88-3fd4-4c50-8271-66dd491a3c65,f50281f1-6ded-4f46-81f8-7b6d0cb484ed,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
99bf5287-f1ed-4b88-b1fd-1dfc0d13dc4d,0ba40cf2-ee7c-420a-ac48-76a3f53ea34f,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
9f2c1271-7889-413e-9efe-c616311b2efb,fad06d7e-b8f8-4375-a157-6be5c89ef814,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
9f964d8f-0ce0-4e45-b6f1-b7674017de7f,4faf3c38-dc92-46fb-8a5a-1ec44af1c62d,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
a4eba91a-929e-4cb1-8138-ea1b21dfa0f8,2e73cfb4-c0b0-4983-9aba-6a84cae565ba,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
a6282801-5199-43f9-90a9-a60cbde1bf90,12fb6d13-dcd5-46da-b664-e2fac0c76924,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
a8203969-dc81-419a-a4a2-ba8743eef239,f9f06c28-f0f8-4a46-b4b7-cdba3290a77e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
a82ca785-8ec1-4a89-a454-70cd2c8963d9,e99c8378-6a27-4476-87d7-1ae1a5587a7b,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
a8f1783e-9643-42c4-8a1a-d1241d54706b,1cf5b4ba-1e0a-4a66-ac54-354d51e8f7bd,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
ab1d75a2-6d3a-4a25-a2b3-02a7ad49b79c,826eb3ce-39c3-43e5-b230-d85021e3d9f6,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
ab7c7e3f-e1e3-40d9-b635-44a67a92302e,ecbc8715-3373-46a4-a232-b2a6d581f9e6,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
abb3725f-62ef-42e8-a792-477601c0d5cc,8073bc7d-6075-4b2f-bf23-52b5496d02bb,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
abef6d6a-130d-4a4d-a499-f566a2dab365,89ee9fb4-3e4c-4907-a2c8-ec4c95a7e8a8,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
abf029dd-dc75-4c1b-bb0e-1d0fb5558db6,8de83677-e9ee-427a-9934-744dfc612422,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
abf947fc-35cb-4b6d-ac80-f78bc182acb9,a02ab9e8-10ee-456c-8791-d232646bfc5a,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
ace3e1fd-09ec-431b-be79-3f974c4118cb,4e263e78-1453-4e30-b440-e47d79048b37,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
af4fb83f-1d35-46e8-b470-f372b3768b7f,5f01ffb4-7659-42a9-818a-9a6d21f3946b,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
b4c91479-171d-4129-8ebd-3825cc5ff42c,31732126-d3e0-4677-b816-de0264f5c84b,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
b8254543-e101-4bd4-a5b7-508d7d065028,451b76a3-72ba-4c4c-86ac-66a90a9ae963,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
b97cc23f-becf-4023-ac9e-ac06c869aa08,4469ecc7-f5af-4ad5-864c-4a112a6b60c9,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
bb564f5e-ef7d-4560-bc7c-33da527c47a6,b9cbae31-2bc4-4bd6-b3be-61978075d68c,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
bb73b09a-b401-4620-a0ea-e7ffb078fbe7,5f2adcf3-3694-448e-8770-e6a06da7aae2,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
be5d0d00-7bd1-4983-95e1-9fb7de7d5f65,fb1f3d6a-fc7e-42b4-82d0-78b9114bc450,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
bfee8391-3d22-41b1-b64b-011f2bb79c63,d0522231-ec38-4a31-8d47-3d3daa4e0e2d,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
c0c42bf1-312e-4f4c-a1c1-5656784cacef,f98973c7-4d43-46cf-bc75-9cbb7ebd835e,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
c0e1ff63-f4d2-48f1-901e-6b2599d3316f,da758cc9-0b13-4b7f-964d-9baf60c81157,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
c150a5aa-3237-4fb0-8c07-88352e5293dd,926ffdb9-115d-4873-a29f-b09b1d02c4f0,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
c1c88370-66b9-4c11-965b-4fcc8e17155f,18447602-cc6e-4894-979d-abe43e571962,,,,,2025-08-13,2025-08-13 07:28:31.133266+00,2025-08-13 07:28:31.133266+00,mobile,1650e5e6-6ed5-44b3-b253-4353714be8e6
